Mean,STD,RMS,Male/Female,Gesture
1.588333333,0.312156938,1.617713407,1,1
1.574666667,0.27432341,1.597598197,1,1
1.543666667,0.292969144,1.57031101,1,1
1.532666667,0.305206921,1.561766094,1,1
1.521666667,0.304110725,1.550764328,1,1
1.503,0.331591252,1.537952102,1,1
1.489,0.316504072,1.521169506,1,1
1.539666667,0.319821969,1.571448376,1,1
1.561666667,0.378473188,1.605387804,1,1
1.559333333,0.380035691,1.603475392,1,1
1.585333333,0.353745801,1.623036249,1,1
1.584333333,0.357073192,1.622764103,1,1
1.554666667,0.324193783,1.587005566,1,1
1.534666667,0.296284269,1.562069141,1,1
1.539,0.269857561,1.56170313,1,1
1.535,0.289741264,1.561210001,1,1
1.549666667,0.243019558,1.567978529,1,1
1.551,0.275810405,1.574527442,1,1
1.554333333,0.320061237,1.585867796,1,1
1.554,0.341301768,1.5898176,1,1
1.561,0.358640633,1.600330174,1,1
1.539666667,0.338276395,1.575179355,1,1
1.539666667,0.315479748,1.570599673,1,1
1.519333333,0.329041799,1.553394133,1,1
1.496,0.328870586,1.530544565,1,1
1.505333333,0.290299885,1.532153169,1,1
1.504666667,0.329678352,1.539183766,1,1
1.492666667,0.306368421,1.522756273,1,1
1.532,0.310065622,1.562037131,1,1
1.559333333,0.326041391,1.59194221,1,1
1.581666667,0.352948989,1.61928688,1,1
1.606333333,0.364043227,1.64572679,1,1
1.612,0.410268205,1.661701939,1,1
1.603666667,0.369113414,1.644217139,1,1
1.614,0.3616018,1.652692752,1,1
1.625666667,0.327621347,1.657271855,1,1
1.62,0.351636568,1.656480204,1,1
1.579333333,0.330119449,1.612339915,1,1
1.552,0.304442962,1.580601151,1,1
1.553333333,0.328017381,1.58645937,1,1
1.541,0.320348409,1.572858332,1,1
1.557,0.291265373,1.583116125,1,1
1.576333333,0.300889295,1.603852653,1,1
1.577,0.371280636,1.618698036,1,1
1.547666667,0.365802692,1.588906332,1,1
1.524666667,0.347867725,1.562557732,1,1
1.537,0.316643496,1.568212358,1,1
1.568,0.379749464,1.611839529,1,1
1.551,0.393177594,1.598448206,1,1
1.552666667,0.374238844,1.595669139,1,1
1.552,0.356732296,1.591137958,1,1
1.541333333,0.337544207,1.576656801,1,1
1.547,0.32891829,1.580439812,1,1
1.580666667,0.379036286,1.624003284,1,1
1.614,0.390204191,1.65896956,1,1
1.625,0.344641243,1.659952811,1,1
1.581666667,0.319116056,1.612485659,1,1
1.552333333,0.277646306,1.576152488,1,1
1.540333333,0.256131477,1.560782923,1,1
1.524666667,0.259651402,1.545891329,1,1
1.512,0.270649283,1.535237224,1,1
1.495333333,0.288632129,1.522022777,1,1
1.49,0.266289964,1.512827375,1,1
1.503333333,0.255144764,1.524119418,1,1
1.548333333,0.266937721,1.570419265,1,1
1.539,0.30014192,1.567036481,1,1
1.507,0.301412193,1.535861322,1,1
1.458,0.274670963,1.482799155,1,1
1.427666667,0.247563065,1.44826678,1,1
1.434,0.242111402,1.45362306,1,1
1.477,0.26283796,1.499436561,1,1
1.56,0.361309878,1.599935415,1,1
1.593333333,0.374564882,1.635338905,1,1
1.583333333,0.355850931,1.621528086,1,1
1.548,0.318351357,1.579326861,1,1
1.529,0.27463267,1.55265901,1,1
1.545,0.27960255,1.569266283,1,1
1.561333333,0.26809331,1.583426664,1,1
1.579666667,0.254321048,1.599334236,1,1
1.583666667,0.261843377,1.604455255,1,1
1.538,0.27508494,1.561599607,1,1
1.501666667,0.239238495,1.519976974,1,1
1.509333333,0.227943328,1.525881166,1,1
1.523333333,0.243216001,1.541987894,1,1
1.507,0.313865225,1.538270674,1,1
1.503333333,0.294903062,1.531038863,1,1
1.484333333,0.288715148,1.511232389,1,1
1.475333333,0.274185104,1.499759981,1,1
1.498,0.343986768,1.535703965,1,1
1.504,0.357554915,1.544538766,1,1
1.529,0.327459921,1.562528933,1,1
1.535333333,0.318084063,1.566860981,1,1
1.549333333,0.283912727,1.574278671,1,1
1.548666667,0.267720046,1.570876613,1,1
1.548,0.252209546,1.567735097,1,1
1.551333333,0.221246209,1.566509921,1,1
1.559333333,0.191724179,1.570685625,1,1
1.544333333,0.19143169,1.555760264,1,1
1.501,0.187861835,1.512321615,1,1
1.476,0.201744119,1.489268277,1,1
1.437333333,0.194385563,1.449983908,1,1
1.417666667,0.186356783,1.429457939,1,1
1.400333333,0.190923045,1.412858804,1,1
1.395666667,0.172919821,1.405983641,1,1
1.446333333,0.233245221,1.464400901,1,1
1.479,0.364363876,1.521767613,1,1
1.496,0.355775985,1.536350654,1,1
1.560666667,0.344302727,1.596957524,1,1
1.586333333,0.347607422,1.622731237,1,1
1.606,0.354815153,1.643451652,1,1
1.645333333,0.357681551,1.682496161,1,1
1.640333333,0.344428395,1.674923879,1,1
1.601333333,0.313464878,1.630721722,1,1
1.573333333,0.295662125,1.5999625,1,1
1.578333333,0.304303425,1.606440164,1,1
1.587333333,0.320505348,1.618309818,1,1
1.602666667,0.306582197,1.630766691,1,1
1.615333333,0.276115085,1.637986569,1,1
1.604333333,0.300203188,1.631258206,1,1
1.558,0.293509091,1.584499921,1,1
1.526666667,0.261459212,1.548158045,1,1
1.503333333,0.244784681,1.522476053,1,1
1.484666667,0.23010842,1.50180558,1,1
1.476,0.253194759,1.496845572,1,1
1.477,0.343673361,1.515157858,1,1
1.489666667,0.326565021,1.523875542,1,1
1.516,0.369469331,1.558914152,1,1
1.508,0.335182915,1.543588892,1,1
1.505333333,0.305498274,1.535007058,1,1
1.531,0.319583242,1.562910746,1,1
1.567666667,0.380133219,1.611602722,1,1
1.562,0.40893807,1.612916613,1,1
1.552666667,0.405028167,1.602920252,1,1
1.557,0.365693955,1.59797476,1,1
1.603333333,0.367586099,1.643561174,1,1
1.613666667,0.36798129,1.653728111,1,1
1.663,0.293834929,1.687906988,1,1
1.684666667,0.304333453,1.711032826,1,1
1.683666667,0.335276349,1.715633022,1,1
1.65,0.335785235,1.682704173,1,1
1.62,0.292091153,1.645257832,1,1
1.582333333,0.275075956,1.60527983,1,1
1.540333333,0.248519524,1.559592896,1,1
1.506333333,0.238565878,1.524485706,1,1
1.475666667,0.221650289,1.491671322,1,1
1.460333333,0.21786556,1.475959575,1,1
1.452666667,0.229075102,1.470022676,1,1
1.468333333,0.262666477,1.49087111,1,1
1.503,0.289722221,1.529754882,1,1
1.500666667,0.333590016,1.536090275,1,1
1.487666667,0.362973195,1.529872544,1,1
1.444333333,0.351858939,1.485185735,1,1
1.421333333,0.317606711,1.45523194,1,1
1.444333333,0.274548951,1.469341122,1,1
1.522333333,0.282899804,1.547534598,1,1
1.606,0.35998659,1.644538436,1,1
1.640666667,0.357133543,1.677820014,1,1
1.642333333,0.336336073,1.675294004,1,1
1.624,0.293241104,1.649393828,1,1
1.587666667,0.276763105,1.610816563,1,1
1.542,0.242008834,1.56024998,1,1
1.536333333,0.223398258,1.551954681,1,1
1.557,0.244852524,1.575500979,1,1
1.54,0.25810984,1.560769041,1,1
1.516,0.246654861,1.535274134,1,1
1.498,0.248712547,1.517827395,1,1
1.478,0.247252489,1.497858471,1,1
1.470666667,0.290314138,1.49810992,1,1
1.456,0.325953244,1.490852105,1,1
1.469666667,0.313264054,1.501593598,1,1
1.505333333,0.340341951,1.542076522,1,1
1.517666667,0.337553912,1.553530388,1,1
1.546666667,0.317624082,1.577878322,1,1
1.581666667,0.323952778,1.613417698,1,1
1.598333333,0.297727987,1.624917434,1,1
1.589333333,0.304811229,1.61734144,1,1
1.573,0.335242064,1.607162095,1,1
1.539666667,0.304455232,1.568495032,1,1
1.560333333,0.265544117,1.582025074,1,1
1.561333333,0.321695222,1.593047394,1,1
1.554,0.299005247,1.581562519,1,1
1.568666667,0.336889763,1.603255022,1,1
1.559333333,0.383989344,1.604385656,1,1
1.515666667,0.366198395,1.557843595,1,1
1.503666667,0.352796545,1.543155857,1,1
1.497333333,0.348236279,1.535979601,1,1
1.511333333,0.321470043,1.544029361,1,1
1.538666667,0.343297733,1.575252361,1,1
1.588,0.374372118,1.630100201,1,1
1.627333333,0.406099473,1.675599395,1,1
1.644666667,0.397793339,1.690530489,1,1
1.684,0.375027355,1.723894815,1,1
1.694,0.371693237,1.732970475,1,1
1.669666667,0.366892668,1.7081891,1,1
1.639333333,0.335887228,1.672265928,1,1
1.597666667,0.313772192,1.62717854,1,1
1.547666667,0.290892602,1.573871024,1,1
1.520333333,0.291777943,1.547161918,1,1
1.538666667,0.313684811,1.569271593,1,1
1.553333333,0.32788069,1.586432055,1,1
1.536,0.32368141,1.568621475,1,1
1.504,0.305451616,1.533690538,1,1
1.49,0.282317991,1.515634081,1,1
1.495333333,0.319457874,1.527963787,1,1
1.504,0.292782136,1.531300101,1,1
1.509333333,0.313489078,1.540482608,1,1
1.54,0.335703071,1.574973016,1,1
1.534666667,0.365482518,1.576174694,1,1
1.489333333,0.3496001,1.528482908,1,1
1.484333333,0.308653174,1.515036853,1,1
1.529666667,0.327240114,1.563136804,1,1
1.552,0.410360649,1.603585566,1,1
1.555,0.389143622,1.601377532,1,1
1.635666667,0.394825875,1.681099838,1,1
1.658666667,0.411554943,1.707309775,1,1
1.641666667,0.362387517,1.679885909,1,1
1.627666667,0.362887684,1.666312296,1,1
1.583666667,0.358795719,1.622480611,1,1
1.540666667,0.31770658,1.572013571,1,1
1.503,0.290601635,1.52991612,1,1
1.493333333,0.266410797,1.516131041,1,1
1.526333333,0.245658627,1.545325208,1,1
1.558666667,0.327642923,1.591607154,1,1
1.571,0.349643661,1.60817184,1,1
1.578,0.311895208,1.607519829,1,1
1.585,0.301258853,1.612438113,1,1
1.578,0.319443482,1.60895204,1,1
1.543333333,0.298655993,1.571018778,1,1
1.518333333,0.256179939,1.53908306,1,1
1.499,0.257659893,1.520255461,1,1
1.465333333,0.314782172,1.497660398,1,1
1.440333333,0.277208789,1.465893357,1,1
1.495,0.280931333,1.520301505,1,1
1.566,0.363494533,1.606262743,1,1
1.547,0.38518379,1.592680131,1,1
1.535333333,0.37016989,1.577880435,1,1
1.514666667,0.340169667,1.55115226,1,1
1.485333333,0.313992459,1.517076135,1,1
1.510333333,0.28074388,1.535349037,1,1
1.576333333,0.321209818,1.607657716,1,1
1.633333333,0.411333687,1.68265663,1,1
1.632333333,0.409050063,1.681147426,1,1
1.609333333,0.376058812,1.651260125,1,1
1.578,0.357543342,1.616681787,1,1
1.547333333,0.359213061,1.587127384,1,1
1.561333333,0.310658182,1.59092845,1,1
1.588,0.317472779,1.618386027,1,1
1.62,0.347800974,1.655697235,1,1
1.608333333,0.361615945,1.647162206,1,1
1.587333333,0.353074509,1.624848711,1,1
1.582333333,0.365472612,1.622620309,1,1
1.583333333,0.379130888,1.626620218,1,1
1.599666667,0.344198052,1.635070845,1,1
1.586666667,0.321014914,1.617753587,1,1
1.569666667,0.309777265,1.598942359,1,1
1.536,0.296352539,1.563391612,1,1
1.514,0.258798284,1.535232881,1,1
1.495666667,0.274536391,1.519827841,1,1
1.505,0.242654146,1.523792418,1,1
1.507,0.264603151,1.529290685,1,1
1.494333333,0.267989749,1.517384812,1,1
1.488333333,0.242857747,1.507365251,1,1
1.484333333,0.227060425,1.501027426,1,1
1.455666667,0.262135571,1.478306463,1,1
1.455666667,0.321040156,1.48949544,1,1
1.484333333,0.312792576,1.515857293,1,1
1.498,0.329078127,1.53254255,1,1
1.515666667,0.360858013,1.556638472,1,1
1.525666667,0.431666245,1.583598223,1,1
1.495,0.408679539,1.54805577,1,1
1.492333333,0.371610506,1.536408149,1,1
1.513,0.343301918,1.550192461,1,1
1.559333333,0.306874492,1.588254807,1,1
1.620666667,0.347830055,1.656355437,1,1
1.691,0.434648887,1.744162645,1,1
1.719333333,0.39240139,1.762087777,1,1
1.724333333,0.375046511,1.763319786,1,1
1.713333333,0.367482895,1.751014944,1,1
1.656,0.337215781,1.688863523,1,1
1.609666667,0.294635758,1.6355254,1,1
1.561333333,0.277274087,1.584954258,1,1
1.523666667,0.244603597,1.542529308,1,1
1.494333333,0.245464842,1.513696359,1,1
1.509333333,0.227473884,1.525813444,1,1
1.553,0.283307436,1.577782199,1,1
1.574,0.354027079,1.612027709,1,1
1.535333333,0.335566771,1.570382119,1,1
1.498,0.296547955,1.526110525,1,1
1.478666667,0.262648754,1.501046302,1,1
1.464333333,0.283399113,1.490607259,1,1
1.556333333,0.537295163,1.643543935,1,2
1.528666667,0.541668771,1.618779376,1,2
1.499666667,0.556736075,1.596440833,1,2
1.48,0.533627792,1.570244142,1,2
1.469,0.505741859,1.550873947,1,2
1.462333333,0.497592018,1.541999784,1,2
